Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	36	40.44943820224719	2.7346064535827735E-53	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000168298, ENSG00000278828, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000187837, ENSG00000277775, ENSG00000124575, ENSG00000274290, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000184357, ENSG00000277224, ENSG00000184678, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000273542, ENSG00000197061	84	148	19308	55.9111969111969	9.817237168362156E-51	9.817237168362156E-51	9.352354071253085E-51
GOTERM_BP_DIRECT	GO:0032200~telomere organization	17	19.101123595505616	3.6613575497275043E-32	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000275379, ENSG00000275126, ENSG00000274750, ENSG00000278637, ENSG00000276966, ENSG00000278705, ENSG00000275714, ENSG00000278828, ENSG00000270882, ENSG00000277157, ENSG00000273983, ENSG00000277775, ENSG00000273542, ENSG00000197061	84	27	19308	144.72486772486772	1.314427360352174E-29	6.57213680176087E-30	6.2609214100340326E-30
GOTERM_BP_DIRECT	GO:0006335~DNA replication-dependent nucleosome assembly	17	19.101123595505616	1.6588518270133028E-30	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000275379, ENSG00000275126, ENSG00000274750, ENSG00000278637, ENSG00000276966, ENSG00000278705, ENSG00000275714, ENSG00000278828, ENSG00000270882, ENSG00000277157, ENSG00000273983, ENSG00000277775, ENSG00000273542, ENSG00000197061	84	32	19308	122.11160714285714	5.955278058977757E-28	1.985092686325919E-28	1.891091082795165E-28
GOTERM_BP_DIRECT	GO:0061644~protein localization to CENP-A containing chromatin	13	14.606741573033707	3.1487872073190345E-25	ENSG00000158406, ENSG00000276180, ENSG00000277075, ENSG00000275126, ENSG00000278637, ENSG00000276966, ENSG00000124635, ENSG00000278705, ENSG00000278463, ENSG00000270882, ENSG00000277157, ENSG00000273542, ENSG00000197061	84	18	19308	166.0079365079365	1.1304146074275333E-22	2.826036518568833E-23	2.6922130622577746E-23
GOTERM_BP_DIRECT	GO:0006342~chromatin silencing	12	13.48314606741573	4.154157004318224E-17	ENSG00000184270, ENSG00000184260, ENSG00000180573, ENSG00000277075, ENSG00000276903, ENSG00000278463, ENSG00000196787, ENSG00000274997, ENSG00000275221, ENSG00000278677, ENSG00000196747, ENSG00000276368	84	45	19308	61.29523809523808	1.4913423645502423E-14	2.982684729100485E-15	2.8414433909536654E-15
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	10	11.235955056179774	5.159130891008239E-17	ENSG00000275126, ENSG00000158406, ENSG00000276180, ENSG00000278637, ENSG00000276966, ENSG00000278705, ENSG00000270882, ENSG00000277157, ENSG00000273542, ENSG00000197061	84	20	19308	114.92857142857143	1.8521279898719577E-14	3.0868799831199297E-15	2.940704607874696E-15
GOTERM_BP_DIRECT	GO:0006336~DNA replication-independent nucleosome assembly	10	11.235955056179774	9.378651367554864E-16	ENSG00000275126, ENSG00000158406, ENSG00000276180, ENSG00000278637, ENSG00000276966, ENSG00000278705, ENSG00000270882, ENSG00000277157, ENSG00000273542, ENSG00000197061	84	26	19308	88.4065934065934	3.1885605267234496E-13	4.8099083442174226E-14	4.582141096719662E-14
GOTERM_BP_DIRECT	GO:0006352~DNA-templated transcription, initiation	10	11.235955056179774	6.117221168913395E-14	ENSG00000275126, ENSG00000158406, ENSG00000276180, ENSG00000278637, ENSG00000276966, ENSG00000278705, ENSG00000270882, ENSG00000277157, ENSG00000273542, ENSG00000197061	84	39	19308	58.937728937728934	2.196121062780776E-11	2.745102999549886E-12	2.6151120497104764E-12
GOTERM_BP_DIRECT	GO:0060968~regulation of gene silencing	7	7.865168539325842	2.38396069644086E-12	ENSG00000275379, ENSG00000274750, ENSG00000197153, ENSG00000275714, ENSG00000278828, ENSG00000273983, ENSG00000277775	84	11	19308	146.27272727272728	8.558495023791579E-10	9.509354333580762E-11	9.059050646475267E-11
GOTERM_BP_DIRECT	GO:0040029~regulation of gene expression, epigenetic	7	7.865168539325842	1.1285502719949334E-9	ENSG00000275379, ENSG00000274750, ENSG00000197153, ENSG00000275714, ENSG00000278828, ENSG00000273983, ENSG00000277775	84	26	19308	61.88461538461538	4.0514945909286837E-7	4.0514954764618105E-8	3.8596419302226724E-8
