Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	18	17.307692307692307	6.940091405369931E-6	ENSG00000175197, ENSG00000112715, ENSG00000134107, ENSG00000116717, ENSG00000177606, ENSG00000164463, ENSG00000060138, ENSG00000112182, ENSG00000173846, ENSG00000141582, ENSG00000161011, ENSG00000185022, ENSG00000185122, ENSG00000101255, ENSG00000162772, ENSG00000179094, ENSG00000031698, ENSG00000155090	99	969	19308	3.622853926259499	0.006833379653450322	0.0068568103085054925	0.0068568103085054925
GOTERM_BP_DIRECT	GO:0034976~response to endoplasmic reticulum stress	6	5.769230769230769	6.832756816373675E-5	ENSG00000175197, ENSG00000164463, ENSG00000128590, ENSG00000101255, ENSG00000149428, ENSG00000087074	99	84	19308	13.93073593073593	0.06528157405262436	0.03375381867288595	0.03375381867288595
GOTERM_BP_DIRECT	GO:0007623~circadian rhythm	5	4.807692307692308	4.426592059677193E-4	ENSG00000134107, ENSG00000177606, ENSG00000179094, ENSG00000133794, ENSG00000155090	99	70	19308	13.93073593073593	0.35431539499933407	0.14578243183203554	0.14578243183203554
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	15	14.423076923076922	0.0029833060107899282	ENSG00000175197, ENSG00000112715, ENSG00000065000, ENSG00000177606, ENSG00000133794, ENSG00000164463, ENSG00000161011, ENSG00000185022, ENSG00000185122, ENSG00000108175, ENSG00000011243, ENSG00000162772, ENSG00000179094, ENSG00000155090, ENSG00000101384	99	1204	19308	2.4297795228027788	0.9477602593881257	0.568554035095781	0.568554035095781
GOTERM_BP_DIRECT	GO:0045599~negative regulation of fat cell differentiation	4	3.8461538461538463	0.003355226212661744	ENSG00000175197, ENSG00000101255, ENSG00000133794, ENSG00000101384	99	59	19308	13.222393425783258	0.9638665841565253	0.568554035095781	0.568554035095781
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	10	9.615384615384617	0.0037117400300475762	ENSG00000060138, ENSG00000141682, ENSG00000173846, ENSG00000161011, ENSG00000116717, ENSG00000006327, ENSG00000134684, ENSG00000099860, ENSG00000177606, ENSG00000087074	99	607	19308	3.213019819280116	0.9746257876543601	0.568554035095781	0.568554035095781
GOTERM_BP_DIRECT	GO:0030224~monocyte differentiation	3	2.8846153846153846	0.004121930604288184	ENSG00000112715, ENSG00000169710, ENSG00000177606	99	19	19308	30.79425837320574	0.983107470341512	0.568554035095781	0.568554035095781
GOTERM_BP_DIRECT	GO:0042752~regulation of circadian rhythm	4	3.8461538461538463	0.004603676397536688	ENSG00000134107, ENSG00000151014, ENSG00000179094, ENSG00000155090	99	66	19308	11.820018365472913	0.9895267854899287	0.568554035095781	0.568554035095781
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	4	3.8461538461538463	0.005646190318705443	ENSG00000134107, ENSG00000151014, ENSG00000179094, ENSG00000133794	99	71	19308	10.987622705932566	0.9962807900861279	0.6198262260978864	0.6198262260978864
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	7	6.730769230769231	0.006539241478277337	ENSG00000141682, ENSG00000161011, ENSG00000116717, ENSG00000006327, ENSG00000099860, ENSG00000177606, ENSG00000101210	99	328	19308	4.162232076866223	0.9984692345815591	0.6460770580538009	0.6460770580538009
GOTERM_BP_DIRECT	GO:0034620~cellular response to unfolded protein	3	2.8846153846153846	0.008845480340443381	ENSG00000204388, ENSG00000185122, ENSG00000113013	99	28	19308	20.896103896103895	0.9998459473043494	0.7611406373834455	0.7611406373834455
