"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254584",768.919272438679,6.38546454535149,0.46350764045437,13.7763954421375,3.53486095289012e-43,4.87033142089201e-39
"ENSG00000101972",20502.1423773,6.60808687262405,0.49924370544851,13.2361946690695,5.42275500864373e-40,3.73573592545466e-36
"ENSG00000283293",9948.74865742294,-16.322124528076,1.23643027979262,-13.2010067974182,8.65702198641546e-40,3.97588163096108e-36
"ENSG00000232035",582.416577447281,6.7020853620684,0.512439420571973,13.0787856925365,4.35339135756833e-39,1.49952565311441e-35
"ENSG00000197912",1150.80158353266,4.45249553295449,0.354065489378525,12.5753445803762,2.885394589565e-36,7.95099333100531e-33
"ENSG00000203396",184.587921448321,5.68834802623525,0.51032108620985,11.1466058917584,7.43900578469262e-29,1.70824369502492e-25
"ENSG00000231609",434.727551803437,4.90020284394498,0.470940691468592,10.4051379137871,2.34915684664439e-25,4.62381186186662e-22
"ENSG00000196092",302.67175922702,6.61605861890743,0.664484278925229,9.95668193927565,2.35801377476049e-23,4.06108922358125e-20
"ENSG00000272189",327.542551193634,5.57318902871246,0.563001716659097,9.89906222983521,4.20196549700061e-23,6.43274229085271e-20
"ENSG00000196873",158.920076463851,5.08774567180655,0.522593258135384,9.73557464166235,2.12612576735055e-22,2.92937608225559e-19
"ENSG00000186470",243.560676355786,5.65632471745585,0.594185459494562,9.51946000541203,1.74081265868705e-21,2.18044698285365e-18
"ENSG00000145824",622.459656424193,5.63760564308779,0.605529387636169,9.31020980681971,1.27580083444304e-20,1.46483199141302e-17
"ENSG00000143226",12418.604871565,3.56133910058169,0.415395372070462,8.57337211734174,1.00498115767355e-17,1.06512541464817e-14
"ENSG00000202111",572.779030984889,4.74015969325241,0.558400461312004,8.48881765268432,2.0874996478942e-17,2.05439786776331e-14
"ENSG00000283696",16198.9673840384,3.46343582491361,0.416799339690382,8.30960007634947,9.60251435931136e-17,8.82022952283946e-14
"ENSG00000104327",48.98134154276,5.66656971921244,0.683229866494552,8.29379685681176,1.09689717757176e-16,9.44565582036484e-14
