Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0034976~response to endoplasmic reticulum stress	6	16.666666666666664	3.4812448752284776E-7	ENSG00000175197, ENSG00000051108, ENSG00000101255, ENSG00000172216, ENSG00000087074, ENSG00000149428	35	84	19308	39.40408163265306	1.8622929044109782E-4	1.8624660082472354E-4	1.8346160492454077E-4
GOTERM_BP_DIRECT	GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	4	11.11111111111111	1.0857045023616577E-6	ENSG00000175197, ENSG00000044574, ENSG00000162772, ENSG00000172216	35	12	19308	183.8857142857143	5.806835621121609E-4	2.904259543817434E-4	2.8608313637229683E-4
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	9	25.0	3.1240128298393454E-5	ENSG00000175197, ENSG00000112715, ENSG00000131018, ENSG00000130513, ENSG00000116717, ENSG00000140105, ENSG00000162772, ENSG00000172216, ENSG00000110619	35	716	18869	6.77657621707901	0.004488544981021025	0.004498578474968658	0.004279897576879903
GOTERM_BP_DIRECT	GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	4	11.11111111111111	3.141744344679198E-5	ENSG00000175197, ENSG00000101255, ENSG00000172216, ENSG00000087074	35	35	19308	63.046530612244894	0.016668120003357045	0.005602777414677904	0.005518997565486458
UP_SEQ_FEATURE	DOMAIN:BZIP	4	11.11111111111111	4.2767760144749255E-5	ENSG00000175197, ENSG00000177606, ENSG00000162772, ENSG00000172216	36	40	20559	57.10833333333333	0.013888015840871626	0.012163824240512865	0.011977833044174746
UP_KW_MOLECULAR_FUNCTION	KW-0030~Aminoacyl-tRNA synthetase	4	11.11111111111111	5.05636774406118E-5	ENSG00000090861, ENSG00000134684, ENSG00000140105, ENSG00000110619	23	39	11693	52.14269788182832	0.0013643222723100923	0.0013652192908965187	0.0013652192908965187
GOTERM_BP_DIRECT	GO:0030968~endoplasmic reticulum unfolded protein response	4	11.11111111111111	1.0393707550300362E-4	ENSG00000175197, ENSG00000051108, ENSG00000044574, ENSG00000162772	35	52	19308	42.435164835164834	0.05409129920412181	0.013901583848526734	0.013693709697520727
UP_SEQ_FEATURE	REGION:Basic motif	4	11.11111111111111	1.1159471780287031E-4	ENSG00000175197, ENSG00000177606, ENSG00000162772, ENSG00000172216	36	55	20559	41.53333333333333	0.03583564773397796	0.012163824240512865	0.011977833044174746
UP_SEQ_FEATURE	DOMAIN:bZIP	4	11.11111111111111	1.1159471780287031E-4	ENSG00000175197, ENSG00000177606, ENSG00000162772, ENSG00000172216	36	55	20559	41.53333333333333	0.03583564773397796	0.012163824240512865	0.011977833044174746
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	5	13.88888888888889	1.1455585693195159E-4	ENSG00000175197, ENSG00000204388, ENSG00000101255, ENSG00000087074, ENSG00000149428	27	111	11223	18.723723723723722	0.003316797384067649	0.003322119851026596	0.0028638964232987896
SMART	SM00338:BRLZ	4	11.11111111111111	1.3454173478350372E-4	ENSG00000175197, ENSG00000177606, ENSG00000162772, ENSG00000172216	21	53	10386	37.32614555256064	0.003626280338048793	0.0036326268391546003	0.0036326268391546003
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	6	16.666666666666664	1.4379843993338857E-4	ENSG00000175197, ENSG00000051108, ENSG00000204388, ENSG00000044574, ENSG00000087074, ENSG00000149428	26	171	8164	11.017543859649123	0.017815491247269888	0.01797480499167357	0.01783100655174018
INTERPRO	IPR004827:Basic-leucine zipper domain	4	11.11111111111111	1.4387659243531871E-4	ENSG00000175197, ENSG00000177606, ENSG00000162772, ENSG00000172216	36	56	19204	38.1031746031746	0.014569293848187503	0.011349748753043839	0.011015932613248432
GOTERM_CC_DIRECT	GO:0005829~cytosol	21	58.333333333333336	1.4514250254547725E-4	ENSG00000175197, ENSG00000156510, ENSG00000163618, ENSG00000044574, ENSG00000090861, ENSG00000134684, ENSG00000177606, ENSG00000041515, ENSG00000175866, ENSG00000116584, ENSG00000275832, ENSG00000119922, ENSG00000161011, ENSG00000204388, ENSG00000140105, ENSG00000101255, ENSG00000103257, ENSG00000087074, ENSG00000110619, ENSG00000107554, ENSG00000087086	36	5510	20562	2.1768602540834845	0.018265560753280563	0.011011327930516422	0.010057590865668542
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	21	58.333333333333336	1.7340673906325073E-4	ENSG00000175197, ENSG00000112715, ENSG00000156510, ENSG00000131018, ENSG00000130513, ENSG00000116717, ENSG00000044574, ENSG00000090861, ENSG00000134684, ENSG00000172216, ENSG00000041515, ENSG00000175866, ENSG00000116584, ENSG00000119922, ENSG00000161011, ENSG00000204388, ENSG00000168386, ENSG00000140105, ENSG00000087074, ENSG00000110619, ENSG00000087086	36	5576	20562	2.151093974175036	0.02178379563395494	0.011011327930516422	0.010057590865668542
UP_SEQ_FEATURE	MOTIF:'KMSKS' region	3	8.333333333333332	3.3284274262990995E-4	ENSG00000134684, ENSG00000140105, ENSG00000110619	36	16	20559	107.07812499999999	0.10314196338507586	0.027209894209995138	0.02679384078170775
INTERPRO	IPR013126:Heat shock protein 70 family	3	8.333333333333332	3.3381613979540704E-4	ENSG00000204388, ENSG00000044574, ENSG00000149428	36	15	19204	106.68888888888888	0.033481588274517304	0.011349748753043839	0.011015932613248432
INTERPRO	IPR018181:Heat shock protein 70, conserved site	3	8.333333333333332	3.3381613979540704E-4	ENSG00000204388, ENSG00000044574, ENSG00000149428	36	15	19204	106.68888888888888	0.033481588274517304	0.011349748753043839	0.011015932613248432
UP_SEQ_FEATURE	MOTIF:'HIGH' region	3	8.333333333333332	4.2346794243722154E-4	ENSG00000134684, ENSG00000140105, ENSG00000110619	36	18	20559	95.18055555555554	0.12933966119075158	0.02769480343539429	0.027271335492957068
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	12	33.33333333333333	7.998394609793514E-4	ENSG00000275832, ENSG00000161011, ENSG00000130513, ENSG00000204388, ENSG00000168003, ENSG00000044574, ENSG00000090861, ENSG00000140105, ENSG00000103257, ENSG00000149428, ENSG00000087086, ENSG00000175866	36	2218	20562	3.0901713255184853	0.09662746397985389	0.03385987051479254	0.03092712582453492
GOTERM_BP_DIRECT	GO:0006418~tRNA aminoacylation for protein translation	3	8.333333333333332	8.802992987250086E-4	ENSG00000090861, ENSG00000134684, ENSG00000140105	35	25	19308	66.19885714285714	0.3757270207242077	0.08611527606753984	0.08482757100484764
