Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	57	54.807692307692314	6.131204866535839E-10	ENSG00000104267, ENSG00000078808, ENSG00000181222, ENSG00000128590, ENSG00000099860, ENSG00000112245, ENSG00000115677, ENSG00000151014, ENSG00000175866, ENSG00000113013, ENSG00000162231, ENSG00000110619, ENSG00000087086, ENSG00000175197, ENSG00000112715, ENSG00000128683, ENSG00000072110, ENSG00000116717, ENSG00000198576, ENSG00000134684, ENSG00000159840, ENSG00000133794, ENSG00000164463, ENSG00000060138, ENSG00000169710, ENSG00000138166, ENSG00000173846, ENSG00000204388, ENSG00000184575, ENSG00000182199, ENSG00000160584, ENSG00000108175, ENSG00000087074, ENSG00000011243, ENSG00000144674, ENSG00000106665, ENSG00000176697, ENSG00000130294, ENSG00000130254, ENSG00000131069, ENSG00000187678, ENSG00000140105, ENSG00000101210, ENSG00000099917, ENSG00000050820, ENSG00000143333, ENSG00000134107, ENSG00000197102, ENSG00000074590, ENSG00000131473, ENSG00000088826, ENSG00000161011, ENSG00000185122, ENSG00000013441, ENSG00000275342, ENSG00000031698, ENSG00000179094	100	5576	20562	2.101926111908178	1.397914513034948E-7	1.3979147095701713E-7	1.3672586852374922E-7
UP_KW_PTM	KW-0597~Phosphoprotein	78	75.0	4.696143991220237E-9	ENSG00000104267, ENSG00000078808, ENSG00000132613, ENSG00000181222, ENSG00000128590, ENSG00000177606, ENSG00000115677, ENSG00000197976, ENSG00000175866, ENSG00000113013, ENSG00000275832, ENSG00000162231, ENSG00000034152, ENSG00000109111, ENSG00000142627, ENSG00000148841, ENSG00000103257, ENSG00000110619, ENSG00000155090, ENSG00000104980, ENSG00000175197, ENSG00000128564, ENSG00000128683, ENSG00000072110, ENSG00000116717, ENSG00000198576, ENSG00000090520, ENSG00000134684, ENSG00000159840, ENSG00000171951, ENSG00000133794, ENSG00000060138, ENSG00000169710, ENSG00000173846, ENSG00000204388, ENSG00000182199, ENSG00000160584, ENSG00000087074, ENSG00000011243, ENSG00000144674, ENSG00000181789, ENSG00000071553, ENSG00000106665, ENSG00000101294, ENSG00000162804, ENSG00000130294, ENSG00000172893, ENSG00000111252, ENSG00000116786, ENSG00000130254, ENSG00000131069, ENSG00000112182, ENSG00000187678, ENSG00000140105, ENSG00000103512, ENSG00000101255, ENSG00000162772, ENSG00000101210, ENSG00000099917, ENSG00000050820, ENSG00000107554, ENSG00000143333, ENSG00000134107, ENSG00000065000, ENSG00000197102, ENSG00000074590, ENSG00000131473, ENSG00000099194, ENSG00000141582, ENSG00000161011, ENSG00000168003, ENSG00000185122, ENSG00000013441, ENSG00000149428, ENSG00000275342, ENSG00000031698, ENSG00000179094, ENSG00000059804	89	8327	14106	1.4846357388918952	7.513830180272407E-8	7.983444785074403E-8	7.513830385952379E-8
GOTERM_MF_DIRECT	GO:0005515~protein binding	90	86.53846153846155	5.8333703591462374E-8	ENSG00000104267, ENSG00000078808, ENSG00000132613, ENSG00000181222, ENSG00000128590, ENSG00000196365, ENSG00000099860, ENSG00000112245, ENSG00000177606, ENSG00000115677, ENSG00000245532, ENSG00000197976, ENSG00000175866, ENSG00000113013, ENSG00000162231, ENSG00000034152, ENSG00000109111, ENSG00000142627, ENSG00000148841, ENSG00000103257, ENSG00000110619, ENSG00000155090, ENSG00000087086, ENSG00000104980, ENSG00000175197, ENSG00000112715, ENSG00000128683, ENSG00000072110, ENSG00000116717, ENSG00000198576, ENSG00000090520, ENSG00000134684, ENSG00000159840, ENSG00000171951, ENSG00000133794, ENSG00000164463, ENSG00000060138, ENSG00000169710, ENSG00000138166, ENSG00000173846, ENSG00000141682, ENSG00000185022, ENSG00000204388, ENSG00000184575, ENSG00000182199, ENSG00000160584, ENSG00000087074, ENSG00000011243, ENSG00000144674, ENSG00000181789, ENSG00000101384, ENSG00000071553, ENSG00000101294, ENSG00000176697, ENSG00000130294, ENSG00000172893, ENSG00000111252, ENSG00000116786, ENSG00000130254, ENSG00000134531, ENSG00000112182, ENSG00000196937, ENSG00000187678, ENSG00000140105, ENSG00000103512, ENSG00000101255, ENSG00000162772, ENSG00000101210, ENSG00000099917, ENSG00000050820, ENSG00000107554, ENSG00000143333, ENSG00000134107, ENSG00000065000, ENSG00000197102, ENSG00000006327, ENSG00000156639, ENSG00000074590, ENSG00000131473, ENSG00000099194, ENSG00000141582, ENSG00000161011, ENSG00000168003, ENSG00000185122, ENSG00000013441, ENSG00000149428, ENSG00000275342, ENSG00000031698, ENSG00000179094, ENSG00000059804	100	12554	18869	1.3527242313206946	1.6624967827505444E-5	1.6625105523566777E-5	1.6391770709200926E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	9	8.653846153846153	2.8524278257920654E-7	ENSG00000175197, ENSG00000164463, ENSG00000185022, ENSG00000204388, ENSG00000185122, ENSG00000101255, ENSG00000149428, ENSG00000087074, ENSG00000113013	68	111	11223	13.381955484896661	1.4262039461088172E-5	1.4262139128960328E-5	1.3691653563801914E-5
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	18	17.307692307692307	6.940091405369931E-6	ENSG00000175197, ENSG00000112715, ENSG00000134107, ENSG00000116717, ENSG00000177606, ENSG00000164463, ENSG00000060138, ENSG00000112182, ENSG00000173846, ENSG00000141582, ENSG00000161011, ENSG00000185022, ENSG00000185122, ENSG00000101255, ENSG00000162772, ENSG00000179094, ENSG00000031698, ENSG00000155090	99	969	19308	3.622853926259499	0.006833379653450322	0.0068568103085054925	0.0068568103085054925
UP_SEQ_FEATURE	REGION:Basic motif	6	5.769230769230769	7.7802828352583E-6	ENSG00000175197, ENSG00000112182, ENSG00000164463, ENSG00000185022, ENSG00000177606, ENSG00000162772	103	55	20559	21.7747572815534	0.006769198393782205	0.003396093457590248	0.003380532891919731
UP_SEQ_FEATURE	DOMAIN:bZIP	6	5.769230769230769	7.7802828352583E-6	ENSG00000175197, ENSG00000112182, ENSG00000164463, ENSG00000185022, ENSG00000177606, ENSG00000162772	103	55	20559	21.7747572815534	0.006769198393782205	0.003396093457590248	0.003380532891919731
INTERPRO	IPR004827:Basic-leucine zipper domain	6	5.769230769230769	1.0711939031397707E-5	ENSG00000175197, ENSG00000112182, ENSG00000164463, ENSG00000185022, ENSG00000177606, ENSG00000162772	101	56	19204	20.37199434229137	0.003315211396421991	0.003320701099733289	0.0033099891607018916
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	49	47.11538461538461	1.2454620119611285E-5	ENSG00000104267, ENSG00000078808, ENSG00000132613, ENSG00000181222, ENSG00000112245, ENSG00000115677, ENSG00000151014, ENSG00000175866, ENSG00000162231, ENSG00000110619, ENSG00000175197, ENSG00000072110, ENSG00000198576, ENSG00000134684, ENSG00000159840, ENSG00000133794, ENSG00000060138, ENSG00000169710, ENSG00000173846, ENSG00000204388, ENSG00000184575, ENSG00000182199, ENSG00000160584, ENSG00000108175, ENSG00000011243, ENSG00000144674, ENSG00000181789, ENSG00000106665, ENSG00000130294, ENSG00000116786, ENSG00000130254, ENSG00000131069, ENSG00000112182, ENSG00000187678, ENSG00000140105, ENSG00000099917, ENSG00000050820, ENSG00000107554, ENSG00000134107, ENSG00000065000, ENSG00000197102, ENSG00000074590, ENSG00000131473, ENSG00000088826, ENSG00000161011, ENSG00000185122, ENSG00000275342, ENSG00000031698, ENSG00000179094	91	5531	17615	1.7148797685771107	3.984709150965937E-4	3.985478438275611E-4	3.985478438275611E-4
UP_SEQ_FEATURE	COMPBIAS:Polar residues	55	52.88461538461539	4.342765862013505E-5	ENSG00000132613, ENSG00000181222, ENSG00000196365, ENSG00000115677, ENSG00000175866, ENSG00000113013, ENSG00000275832, ENSG00000162231, ENSG00000034152, ENSG00000109111, ENSG00000110619, ENSG00000087086, ENSG00000175197, ENSG00000128564, ENSG00000128683, ENSG00000198576, ENSG00000159840, ENSG00000171951, ENSG00000133794, ENSG00000164463, ENSG00000060138, ENSG00000169710, ENSG00000182199, ENSG00000160584, ENSG00000108175, ENSG00000087074, ENSG00000144674, ENSG00000101384, ENSG00000071553, ENSG00000106665, ENSG00000101294, ENSG00000130294, ENSG00000172893, ENSG00000006652, ENSG00000111252, ENSG00000116786, ENSG00000112182, ENSG00000056487, ENSG00000187678, ENSG00000140105, ENSG00000099917, ENSG00000050820, ENSG00000107554, ENSG00000134107, ENSG00000065000, ENSG00000006327, ENSG00000156639, ENSG00000074590, ENSG00000131473, ENSG00000088826, ENSG00000141582, ENSG00000161011, ENSG00000149428, ENSG00000275342, ENSG00000179094	103	6908	20559	1.589187434295962	0.03720346236522298	0.00992906246932332	0.009883568483209582
