Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	5	22.727272727272727	1.5051242917717924E-5	ENSG00000175197, ENSG00000204388, ENSG00000101255, ENSG00000149428, ENSG00000087074	17	111	11223	29.737678855325914	3.0098181965676485E-4	3.0102485835435845E-4	3.0102485835435845E-4
GOTERM_BP_DIRECT	GO:0034976~response to endoplasmic reticulum stress	4	18.181818181818183	9.983330964023072E-5	ENSG00000175197, ENSG00000101255, ENSG00000149428, ENSG00000087074	22	84	19308	41.79220779220779	0.03790051558798613	0.02754952304492698	0.027122398656633538
UP_SEQ_FEATURE	MOTIF:'KMSKS' region	3	13.636363636363635	1.182227664212964E-4	ENSG00000134684, ENSG00000140105, ENSG00000110619	22	16	20559	175.21874999999997	0.01920290911349165	0.012344971883425855	0.012043875008220345
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	5	22.727272727272727	1.4237479609781385E-4	ENSG00000112715, ENSG00000006327, ENSG00000177606, ENSG00000140105, ENSG00000171951	22	252	19308	17.41341991341991	0.05361230548784501	0.02754952304492698	0.027122398656633538
UP_SEQ_FEATURE	MOTIF:'HIGH' region	3	13.636363636363635	1.5054843760275432E-4	ENSG00000134684, ENSG00000140105, ENSG00000110619	22	18	20559	155.74999999999997	0.024389453540423878	0.012344971883425855	0.012043875008220345
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	6	27.27272727272727	4.0448298890971785E-4	ENSG00000161011, ENSG00000116717, ENSG00000006327, ENSG00000134684, ENSG00000177606, ENSG00000087074	22	607	19308	8.675153512056312	0.14492541771139367	0.04309676043025737	0.04242859360188129
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	7	31.818181818181817	4.454445522507222E-4	ENSG00000175197, ENSG00000112715, ENSG00000161011, ENSG00000116717, ENSG00000177606, ENSG00000101255, ENSG00000162772	22	969	19308	6.339994370954122	0.15837896862634793	0.04309676043025737	0.04242859360188129
GOTERM_BP_DIRECT	GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	3	13.636363636363635	6.560162341452525E-4	ENSG00000175197, ENSG00000101255, ENSG00000087074	22	35	19308	75.22597402597401	0.22427840553300682	0.05077565652284255	0.04998843704186824
UP_SEQ_FEATURE	DOMAIN:BZIP	3	13.636363636363635	7.571758936860118E-4	ENSG00000175197, ENSG00000177606, ENSG00000162772	22	40	20559	70.08749999999999	0.11681790997233055	0.04139228218816864	0.04038271432992063
GOTERM_CC_DIRECT	GO:0005829~cytosol	14	63.63636363636363	7.659798023365223E-4	ENSG00000175197, ENSG00000134684, ENSG00000177606, ENSG00000175866, ENSG00000275832, ENSG00000161011, ENSG00000204388, ENSG00000140105, ENSG00000101255, ENSG00000103257, ENSG00000087074, ENSG00000110619, ENSG00000107554, ENSG00000087086	22	5510	20562	2.374756640818347	0.07589183399895094	0.05204061793880378	0.05001962306739393
