Annotation Cluster 1	Enrichment Score: 44.5176662074828
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0000786~nucleosome	51	57.30337078651685	2.5151471871969316E-89	ENSG00000158406, ENSG00000180573, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000278828, ENSG00000168298, ENSG00000278463, ENSG00000278588, ENSG00000277775, ENSG00000276368, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000203852, ENSG00000277224, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197153, ENSG00000276180, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000276903, ENSG00000183598, ENSG00000270882, ENSG00000277157, ENSG00000187837, ENSG00000124575, ENSG00000274290, ENSG00000184270, ENSG00000282988, ENSG00000158373, ENSG00000273802, ENSG00000184357, ENSG00000275221, ENSG00000184678, ENSG00000197061	87	139	20562	86.71644753162987	2.4396927715810235E-87	2.4396927715810235E-87	2.2384809966052693E-87
GOTERM_MF_DIRECT	GO:0030527~structural constituent of chromatin	47	52.80898876404494	4.933851196567618E-87	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000168298, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000187837, ENSG00000277775, ENSG00000124575, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000184357, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	85	99	18869	105.38835412953061	5.279220780327352E-85	5.279220780327352E-85	4.983189708533294E-85
INTERPRO	IPR009072:Histone-fold	47	52.80898876404494	8.867505646769318E-83	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000277775, ENSG00000276368, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000282988, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	84	120	19204	89.54246031746031	9.665581154978556E-81	9.665581154978556E-81	9.665581154978556E-81
UP_KW_CELLULAR_COMPONENT	KW-0544~Nucleosome core	44	49.43820224719101	2.1985575163889894E-80	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000277775, ENSG00000276368, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	84	91	17615	101.39455782312925	3.957403529500181E-79	3.957403529500181E-79	3.957403529500181E-79
INTERPRO	IPR007125:Histone core	37	41.57303370786517	1.532964889660216E-68	ENSG00000197153, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000276903, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000277775, ENSG00000276368, ENSG00000274290, ENSG00000184270, ENSG00000274750, ENSG00000203811, ENSG00000282988, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677	84	74	19204	114.30952380952381	1.6709317297296354E-66	8.354658648648177E-67	8.354658648648177E-67
UP_KW_PTM	KW-0379~Hydroxylation	48	53.93258426966292	2.1107359976318125E-67	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000168298, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000187837, ENSG00000277775, ENSG00000276368, ENSG00000124575, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000184357, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	82	200	14106	41.28585365853658	2.532883197158175E-66	2.7439567969213563E-66	1.68858879810545E-66
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	44	49.43820224719101	6.906361897243306E-66	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000277775, ENSG00000276368, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	61	136	8164	43.29990356798457	1.0221415607920092E-63	1.0221415607920092E-63	1.0221415607920092E-63
KEGG_PATHWAY	hsa04613:Neutrophil extracellular trap formation	45	50.56179775280899	7.785669378208724E-61	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000277775, ENSG00000276368, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000117461, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	61	190	8164	31.698015530629856	1.1522790679748911E-58	5.7613953398744555E-59	5.7613953398744555E-59
KEGG_PATHWAY	hsa05034:Alcoholism	44	49.43820224719101	5.060939814743767E-59	ENSG00000158406, ENSG00000197153, ENSG00000276180, ENSG00000180573, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000276903, ENSG00000278828, ENSG00000278463, ENSG00000183598, ENSG00000278588, ENSG00000270882, ENSG00000277157, ENSG00000277775, ENSG00000276368, ENSG00000274290, ENSG00000184270, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000158373, ENSG00000203852, ENSG00000273802, ENSG00000275221, ENSG00000277224, ENSG00000184678, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197061	61	187	8164	31.490838958534233	7.490190925820774E-57	2.496730308606925E-57	2.496730308606925E-57
UP_KW_CELLULAR_COMPONENT	KW-0158~Chromosome	54	60.67415730337079	4.6323614409419684E-58	ENSG00000158406, ENSG00000180573, ENSG00000184260, ENSG00000276966, ENSG00000124635, ENSG00000275713, ENSG00000275714, ENSG00000278705, ENSG00000278828, ENSG00000168298, ENSG00000278463, ENSG00000278588, ENSG00000277775, ENSG00000276368, ENSG00000112118, ENSG00000275126, ENSG00000274750, ENSG00000203811, ENSG00000278637, ENSG00000203852, ENSG00000277224, ENSG00000094916, ENSG00000274997, ENSG00000276410, ENSG00000203814, ENSG00000273983, ENSG00000278677, ENSG00000273542, ENSG00000197153, ENSG00000276180, ENSG00000277075, ENSG00000196787, ENSG00000196747, ENSG00000274641, ENSG00000275379, ENSG00000185130, ENSG00000276903, ENSG00000183598, ENSG00000270882, ENSG00000277157, ENSG00000187837, ENSG00000124575, ENSG00000163946, ENSG00000274290, ENSG00000184270, ENSG00000282988, ENSG00000158373, ENSG00000273802, ENSG00000184357, ENSG00000275221, ENSG00000184678, ENSG00000197061	84	583	17615	19.42354814996325	8.338250593695543E-57	4.1691252968477713E-57	4.1691252968477713E-57
